"LBDSF5LC.Code.or.Value","LBDSF5LC.Value.Description","LBDSF5LC.Count","LBDSF5LC.Cumulative","LBDSF5LC.Skip.to.Item"
"0","At or above the detection limit",379,379,NA
"1","Below lower detection limit",8074,8453,NA
".","Missing",969,9422,NA
