"AUXLR184.Code.or.Value","AUXLR184.Value.Description","AUXLR184.Count","AUXLR184.Cumulative","AUXLR184.Skip.to.Item"
"-14 to 60","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
