"BIXC898K.Code.or.Value","BIXC898K.Value.Description","BIXC898K.Count","BIXC898K.Cumulative","BIXC898K.Skip.to.Item"
"5.73 to 1936.63","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
