"LBXD04.Code.or.Value","LBXD04.Value.Description","LBXD04.Count","LBXD04.Cumulative","LBXD04.Skip.to.Item"
"8.41 to 424.2","Range of Values",1238,1238,NA
".","Missing",1309,2547,NA
