"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2363,2363,NA
"1","Below lower detection limit",10,2373,NA
".","Missing",89,2462,NA
