"DXXPT85X.Code.or.Value","DXXPT85X.Value.Description","DXXPT85X.Count","DXXPT85X.Cumulative","DXXPT85X.Skip.to.Item"
"-24.9 to 433","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
