"CVXPARC.Code.or.Value","CVXPARC.Value.Description","CVXPARC.Count","CVXPARC.Cumulative","CVXPARC.Skip.to.Item"
"0","Little or no regular recreation, sport or physical activity and avoids walking or exertion",283,283,NA
"1","Little or no regular recreation, sport or physical activity but walks for pleasure and occasionally exercises",570,853,NA
"2","Participating regularly in recreation or work requiring modest physical activity for 10 to 60 minutes per week",644,1497,NA
"3","Participating regulalry in recreation or work requiring modest physical activity for more than 60 minutes per week",1157,2654,NA
"4","Participating regularly in heavy physical activity for less than 30 minutes per week",22,2676,NA
"5","Participating regularly in heavy physical activity for 30 - 60 minutes per week",108,2784,NA
"6","Participating regularly in heavy physical activity for 1 - 3 hours per week",206,2990,NA
"7","Participating regularly in heavy physical activity for more than 3 hours per week",463,3453,NA
".","Missing",1699,5152,NA
