"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"76 to 670","Range of Values",6741,6741,NA
"7777","Refused",6,6747,NA
"9999","Don't know",78,6825,NA
".","Missing",64,6889,NA
