"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2740,2740,NA
"1","Below lower detection limit",6,2746,NA
".","Missing",73,2819,NA
