"DR1TTHEO.Code.or.Value","DR1TTHEO.Value.Description","DR1TTHEO.Count","DR1TTHEO.Cumulative","DR1TTHEO.Skip.to.Item"
"0 to 2038","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
