"DRDIFDCD.Code.or.Value","DRDIFDCD.Value.Description","DRDIFDCD.Count","DRDIFDCD.Cumulative","DRDIFDCD.Skip.to.Item"
"11000000 to 94000000","Range of Values",143004,143004,NA
".","Missing",0,143004,NA
