"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 2089.9","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
