"URDMU6LC.Code.or.Value","URDMU6LC.Value.Description","URDMU6LC.Count","URDMU6LC.Cumulative","URDMU6LC.Skip.to.Item"
"0","At or above detection limit",2270,2270,NA
"1","Below lower detection limit",128,2398,NA
".","Missing",107,2505,NA
