"RHQ166.Code.or.Value","RHQ166.Value.Description","RHQ166.Count","RHQ166.Cumulative","RHQ166.Skip.to.Item"
"0 to 14","Range of Values",1917,1917,NA
"77","Refused",0,1917,NA
"99","Don't know",1,1918,NA
".","Missing",1380,3298,NA
