"DBQ070c.Code.or.Value","DBQ070c.Value.Description","DBQ070c.Count","DBQ070c.Cumulative","DBQ070c.Skip.to.Item"
"12","1% fat milk,",12,12,NA
".","Missing",9953,9965,NA
