"DS2ISUGR.Code.or.Value","DS2ISUGR.Value.Description","DS2ISUGR.Count","DS2ISUGR.Cumulative","DS2ISUGR.Skip.to.Item"
"0.17 to 13.5","Range of Values",533,533,NA
".","Missing",4993,5526,NA
