"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2181,2181,NA
"1","Below lower detection limit",483,2664,NA
".","Missing",91,2755,NA
