"DR1IP205.Code.or.Value","DR1IP205.Value.Description","DR1IP205.Count","DR1IP205.Cumulative","DR1IP205.Skip.to.Item"
"0 to 2.134","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
