"WTSPH26.Code.or.Value","WTSPH26.Value.Description","WTSPH26.Count","WTSPH26.Cumulative","WTSPH26.Skip.to.Item"
"0 to 777322.16598","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
