"LBCBR66.Code.or.Value","LBCBR66.Value.Description","LBCBR66.Count","LBCBR66.Cumulative","LBCBR66.Skip.to.Item"
"1.8 to 3.2","Range of Values",247,247,NA
".","Missing",0,247,NA
