"RHQ460U.Code.or.Value","RHQ460U.Value.Description","RHQ460U.Count","RHQ460U.Cumulative","RHQ460U.Skip.to.Item"
"1","Months",475,475,NA
"2","Years",1325,1800,NA
"7","Refused",0,1800,NA
"9","Don't know",0,1800,NA
".","Missing",1684,3484,NA
