"OHQ140.Code.or.Value","OHQ140.Value.Description","OHQ140.Count","OHQ140.Cumulative","OHQ140.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",399,401,NA
".","Missing",9197,9598,NA
