"DR2TTHEO.Code.or.Value","DR2TTHEO.Value.Description","DR2TTHEO.Count","DR2TTHEO.Cumulative","DR2TTHEO.Skip.to.Item"
"0 to 1207","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
