"LBCF06.Code.or.Value","LBCF06.Value.Description","LBCF06.Count","LBCF06.Cumulative","LBCF06.Skip.to.Item"
"0.4879 to 2.492","Range of Values",288,288,NA
".","Missing",13,301,NA
