"DR2TP182.Code.or.Value","DR2TP182.Value.Description","DR2TP182.Count","DR2TP182.Cumulative","DR2TP182.Skip.to.Item"
"0 to 97.246","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
