"RHQ180.Code.or.Value","RHQ180.Value.Description","RHQ180.Count","RHQ180.Cumulative","RHQ180.Skip.to.Item"
"12 to 39","Range of Values",1550,1550,NA
"777","Refused",0,1550,NA
"999","Don't know",4,1554,NA
".","Missing",2311,3865,NA
