"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",2431,2431,NA
"1","Below lower detection limit",0,2431,NA
".","Missing",207,2638,NA
