"OPX2OSFP.Code.or.Value","OPX2OSFP.Value.Description","OPX2OSFP.Count","OPX2OSFP.Cumulative","OPX2OSFP.Skip.to.Item"
"0","Test not performed",20,20,NA
"1","0/3",2206,2226,NA
"2","1/3",233,2459,NA
"3","2/3",31,2490,NA
"4","3/3",9,2499,NA
".","Missing",435,2934,NA
