"KIQ010.Code.or.Value","KIQ010.Value.Description","KIQ010.Count","KIQ010.Cumulative","KIQ010.Skip.to.Item"
"1","Drops",1092,1092,NA
"2","Small splashes",281,1373,NA
"3","More",167,1540,NA
"7","Refused",0,1540,NA
"9","Don't know",4,1544,NA
".","Missing",4175,5719,NA
