"DR1TP183.Code.or.Value","DR1TP183.Value.Description","DR1TP183.Count","DR1TP183.Cumulative","DR1TP183.Skip.to.Item"
"0 to 16.593","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
