"CIQD028.Code.or.Value","CIQD028.Value.Description","CIQD028.Count","CIQD028.Cumulative","CIQD028.Skip.to.Item"
"1","Yes",36,36,NA
"2","No",74,110,NA
"7","Refuse",0,110,NA
"9","Don't know",1,111,NA
".","Missing",817,928,NA
