"DXXWDGRT.Code.or.Value","DXXWDGRT.Value.Description","DXXWDGRT.Count","DXXWDGRT.Cumulative","DXXWDGRT.Skip.to.Item"
"0.6 to 1.1","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
