"LBX6AL.Code.or.Value","LBX6AL.Value.Description","LBX6AL.Count","LBX6AL.Cumulative","LBX6AL.Skip.to.Item"
"0.49 to 62.1","Range of Values",1571,1571,NA
".","Missing",753,2324,NA
