"FSD111.Code.or.Value","FSD111.Value.Description","FSD111.Count","FSD111.Cumulative","FSD111.Skip.to.Item"
"1","Yes",286,286,NA
"2","No",1066,1352,NA
"7","Refused",0,1352,NA
"9","Don't know",0,1352,NA
".","Missing",8619,9971,NA
