"AUDTYR77.Code.or.Value","AUDTYR77.Value.Description","AUDTYR77.Count","AUDTYR77.Cumulative","AUDTYR77.Skip.to.Item"
"0 to 0.78","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
