"RDQ140.Code.or.Value","RDQ140.Value.Description","RDQ140.Count","RDQ140.Cumulative","RDQ140.Skip.to.Item"
"1","Yes",286,286,NA
"2","No",9193,9479,NA
"7","Refused",3,9482,NA
"9","Don't know",5,9487,NA
".","Missing",6,9493,NA
