"DXXRABMC.Code.or.Value","DXXRABMC.Value.Description","DXXRABMC.Count","DXXRABMC.Cumulative","DXXRABMC.Skip.to.Item"
"28.67 to 394.21","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
