"AUXLR127.Code.or.Value","AUXLR127.Value.Description","AUXLR127.Count","AUXLR127.Cumulative","AUXLR127.Skip.to.Item"
"-31 to 64","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
