"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",665,665,""
"2","No",5285,5950,"DRD370F"
".","Missing",4303,10253,""
