"DSDDAY2.Code.or.Value","DSDDAY2.Value.Description","DSDDAY2.Count","DSDDAY2.Cumulative","DSDDAY2.Skip.to.Item"
"1","Yes",4460,4460,NA
"2","No",2362,6822,NA
"7","Refused",0,6822,NA
"9","Don't know",4,6826,NA
".","Missing",1574,8400,NA
