"DXXPT67X.Code.or.Value","DXXPT67X.Value.Description","DXXPT67X.Count","DXXPT67X.Cumulative","DXXPT67X.Skip.to.Item"
"410.8 to 992.9","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
