"DRD370HQ.Code.or.Value","DRD370HQ.Value.Description","DRD370HQ.Count","DRD370HQ.Cumulative","DRD370HQ.Skip.to.Item"
"1 to 60","Range of Values",114,114,NA
".","Missing",9430,9544,NA
