"BIXS018K.Code.or.Value","BIXS018K.Value.Description","BIXS018K.Count","BIXS018K.Cumulative","BIXS018K.Skip.to.Item"
"353.29 to 965.19","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
