"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.199 to 0.309","Range of Values",3275,3275,NA
".","Missing",433,3708,NA
