"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"0.7778 to 105.7","Range of Values",284,284,NA
".","Missing",0,284,NA
