"DXXSATV.Code.or.Value","DXXSATV.Value.Description","DXXSATV.Count","DXXSATV.Cumulative","DXXSATV.Skip.to.Item"
"92.96 to 5515.27","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
