"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"0 to 325216.78843","Range of Values",3545,3545,NA
".","Missing",0,3545,NA
