"TYXP118.Code.or.Value","TYXP118.Value.Description","TYXP118.Count","TYXP118.Cumulative","TYXP118.Skip.to.Item"
"-291 to 106","Range of Values",5390,5390,NA
".","Missing",195,5585,NA
