"AUXLR135.Code.or.Value","AUXLR135.Value.Description","AUXLR135.Count","AUXLR135.Cumulative","AUXLR135.Skip.to.Item"
"-26 to 43","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
