"DRD370C.Code.or.Value","DRD370C.Value.Description","DRD370C.Count","DRD370C.Cumulative","DRD370C.Skip.to.Item"
"1","Yes",155,155,""
"2","No",5134,5289,"DRD370D"
".","Missing",4049,9338,""
