"DS1TKCAL.Code.or.Value","DS1TKCAL.Value.Description","DS1TKCAL.Count","DS1TKCAL.Cumulative","DS1TKCAL.Skip.to.Item"
"1 to 285","Range of Values",1071,1071,NA
".","Missing",8267,9338,NA
