"URXANTT.Code.or.Value","URXANTT.Value.Description","URXANTT.Count","URXANTT.Cumulative","URXANTT.Skip.to.Item"
"0.28 to 462","Range of Values",1119,1119,NA
".","Missing",1486,2605,NA
