"ARQ022AG.Code.or.Value","ARQ022AG.Value.Description","ARQ022AG.Count","ARQ022AG.Cumulative","ARQ022AG.Skip.to.Item"
"1","Yes",62,62,"ARQ024g"
"2","No",17,79,""
"7","Refused",0,79,""
"9","Don't know",0,79,""
".","Missing",5027,5106,""
