"DMDHSEDU.Code.or.Value","DMDHSEDU.Value.Description","DMDHSEDU.Count","DMDHSEDU.Cumulative","DMDHSEDU.Skip.to.Item"
"1","Less Than 9th Grade",649,649,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",812,1461,NA
"3","High School Grad/GED or equivalent",1338,2799,NA
"4","Some College or AA degree",1336,4135,NA
"5","College Graduate or above",1252,5387,NA
"7","Refused",3,5390,NA
"9","Don't know",21,5411,NA
".","Missing",4738,10149,NA
