"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"1916.5412196 to 318619.99587","Range of Values",130920,130920,NA
".","Missing",20071,150991,NA
