"WTSPH17.Code.or.Value","WTSPH17.Value.Description","WTSPH17.Count","WTSPH17.Cumulative","WTSPH17.Skip.to.Item"
"0.0000000 to 770860.4819000","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
