"DR1TCARB.Code.or.Value","DR1TCARB.Value.Description","DR1TCARB.Count","DR1TCARB.Cumulative","DR1TCARB.Skip.to.Item"
"0 to 1222.34","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
