"OPDDAREX.Code.or.Value","OPDDAREX.Value.Description","OPDDAREX.Count","OPDDAREX.Cumulative","OPDDAREX.Skip.to.Item"
"0","No",2360,2360,NA
"1","Yes",35,2395,NA
".","Missing",539,2934,NA
