"LBDHDTLC.Code.or.Value","LBDHDTLC.Value.Description","LBDHDTLC.Count","LBDHDTLC.Cumulative","LBDHDTLC.Skip.to.Item"
"0","At or above the detection limit",2804,2804,NA
"1","Below lower detection limit",0,2804,NA
".","Missing",1524,4328,NA
