"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",426,426,NA
"1","Below lower detection limit",2228,2654,NA
".","Missing",101,2755,NA
