"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"3279.931789 to 153810.25883","Range of Values",10537,10537,NA
".","Missing",0,10537,NA
