"URXMB1.Code.or.Value","URXMB1.Value.Description","URXMB1.Count","URXMB1.Cumulative","URXMB1.Skip.to.Item"
"0.495 to 1.56","Range of Values",2448,2448,NA
".","Missing",157,2605,NA
