"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.008 to 0.15","Range of Values",3089,3089,NA
".","Missing",305,3394,NA
