"AUXR1K1R.Code.or.Value","AUXR1K1R.Value.Description","AUXR1K1R.Count","AUXR1K1R.Cumulative","AUXR1K1R.Skip.to.Item"
"15 to 100","Range of Values",10,10,NA
"666","No response",0,10,NA
"888","Could not obtain",0,10,NA
".","Missing",2036,2046,NA
